충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
평촌목련신동아아파트,"경기도 안양시 동안구 동안로 75 (호계동, 목련신동아아파트) 301동,901동~903동",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 동안구 동안로 75 (호계동, 목련신동아아파트) 301동,901동~903동",-,케이티,1522-0123,37.38537331,126.953171,2020-08-11,3830000,경기도 안양시
신안메트로칸,"경기도 안양시 동안구 평촌대로 239 (비산동, 신안메트로칸) 신안메트로칸",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 동안구 평촌대로 239 (비산동, 신안메트로칸) 신안메트로칸",-,케이티,1522-0123,37.3926143154,126.9541523,2020-08-11,3830000,경기도 안양시
신안메트로칸,"경기도 안양시 동안구 평촌대로 239 (비산동, 신안메트로칸) 신안메트로칸",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 동안구 평촌대로 239 (비산동, 신안메트로칸) 신안메트로칸",-,케이티,1522-0123,37.3926143154,126.9541523,2020-08-11,3830000,경기도 안양시
신안메트로칸,"경기도 안양시 동안구 평촌대로 239 (비산동, 신안메트로칸) 신안메트로칸",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 동안구 평촌대로 239 (비산동, 신안메트로칸) 신안메트로칸",-,케이티,1522-0123,37.3926143154,126.9541523,2020-08-11,3830000,경기도 안양시
평촌삼성래미안103동,"경기도 안양시 동안구 흥안대로456번길 66 (평촌동, 삼성래미안아파트) 103동 지하",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 동안구 흥안대로456번길 66 (평촌동, 삼성래미안아파트) 103동 지하",-,케이티,1522-0123,37.39326284,126.9788055,2020-08-11,3830000,경기도 안양시
호계일신아파트,"경기도 안양시 동안구 경수대로707번길 52 (호계동, 일신아파트) 101동",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 동안구 경수대로707번길 52 (호계동, 일신아파트) 101동",-,케이티,1522-0123,37.3843225988,126.9485898,2020-08-11,3830000,경기도 안양시
평촌삼성래미안105동,"경기도 안양시 동안구 흥안대로456번길 66 (평촌동, 삼성래미안아파트) 105동 지하",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 동안구 흥안대로456번길 66 (평촌동, 삼성래미안아파트) 105동 지하",-,케이티,1522-0123,37.39326284,126.9788055,2020-08-11,3830000,경기도 안양시
평촌삼성래미안105동,"경기도 안양시 동안구 흥안대로456번길 66 (평촌동, 삼성래미안아파트) 105동 지하",경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,"경기도 안양시 동안구 흥안대로456번길 66 (평촌동, 삼성래미안아파트) 105동 지하",-,케이티,1522-0123,37.39326284,126.9788055,2020-08-11,3830000,경기도 안양시
부림동행정복지센터,경기도 안양시 동안구 달안로 154(관양동) 부림동행정복지센터,경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,경기도 안양시 동안구 달안로 154(관양동) 부림동행정복지센터,-,에버온,1661-7766,37.3987360012,126.9594522,2020-08-11,3830000,경기도 안양시
석수2동행정복지센터,경기도 안양시 만안구 안양로 496(석수동) 석수2동행정복지센터,경기도,-,00:00,24:00,Y,N,AC완속,1,0,N,경기도 안양시 만안구 안양로 496(석수동) 석수2동행정복지센터,-,에버온,1661-7766,37.4138452,126.9093767,2020-08-11,3830000,경기도 안양시
